,layer,silhouette_score
0,0,-0.09387420183158936
1,1,0.45052886321455876
2,2,0.4488692159534024
3,3,0.4697352787928105
4,4,0.47436243097046943
5,5,0.4485955286723358
6,6,0.45573539936850277
7,7,0.45910960496238196
8,8,0.46289182553546704
9,9,0.47053220306283217
10,10,0.4586577960339227
11,11,0.5270259308321228
12,12,0.5183322426755769
13,13,0.4910399296882103
14,14,0.49615573367112026
15,15,0.47090616612048475
16,16,0.4645708749049566
17,17,0.4579251591936772
18,18,0.42683523720887534
19,19,0.4132904865772136
20,20,0.3795236673932743
21,21,0.37442349615429327
22,22,0.3724461499658325
23,23,0.365714543118648
24,24,0.35864039497784406
25,25,0.3467278295712409
26,26,0.34482485085542014
27,27,0.3402308154878566
28,28,0.32646726571030443
29,29,0.3251279682473892
30,30,0.32137127009561034
31,31,0.3292428450965433
32,32,0.3598917602865997
33,33,0.37521568134844324
34,34,0.4203301764633792
35,35,0.5155311724586695
36,36,0.5936977416500798
